Attenuation,Zero degree level(m),Rain height(km),R (mm/hr)
0,2615.1633,2.9751633,0
0,2616.1785,2.9761785,0
0,2504.7068,2.8647068,0
0,2499.439,2.859439,0
0,2498.454,2.858454,0
0,2489.755,2.849755,0
0,2462.6453,2.8226453,0
0,2432.116,2.792116,0
0,2429.106,2.789106,0
0,2430.3662,2.7903662,0
0,2431.131,2.791131,0
0,2431.236,2.791236,0
0,2320.2961,2.6802961,0
0,2298.536,2.658536,0
0,2287.3757,2.6473757,0
0,2233.124,2.593124,0
0,2211.2178,2.5712178,0
0,2070.3694,2.4303694,0
0,2015.7402,2.3757402,0
0,1850.5205,2.2105205,0
0,1873.5747,2.2335747,0
0,1757.7485,2.1177485,0
0,1714.8674,2.0748674,0
0,1692.7019,2.0527019,0
0,1564.3303,1.9243303,0
0,1539.478,1.899478,0
0.127083157,1411.0823,1.7710823,0.2
0.123073935,1355.0569,1.7150569,0.2
0.17398707,1245.0308,1.6050308,0.3
0.16225951,1136.511,1.496511,0.3
0.1038132,1086.0112,1.4460112,0.2
0.048437549,1005.9326,1.3659326,0.1
0.01709734,121.473175,0.481473175,0.1
0.017706447,138.64397,0.49864397,0.1
0.017832031,142.1843,0.5021843,0.1
0.019273635,182.82733,0.54282733,0.1
0.020567126,219.29884,0.57929884,0.1
0.022217604,265.84155,0.62584155,0.1
0.039405091,750.84546,1.11084546,0.1
0,718.1321,1.0781321,0
0.032269141,549.4131,0.9094131,0.1
0.078747478,736.1621,1.0961621,0.2
0.079591327,747.9343,1.1079343,0.2
0.200009941,736.37646,1.09637646,0.5
0.134578544,376.78516,0.73678516,0.5
0.213151392,363.62524,0.72362524,0.8
0.241129003,366.2788,0.7262788,0.9
0.229009639,417.66626,0.77766626,0.8
0.215825819,479.6416,0.8396416,0.7
0.196771957,535.5513,0.8955513,0.6
0.231958947,542.6448,0.9026448,0.7
0.285101386,499.29663,0.85929663,0.9
0.344959601,487.98657,0.84798657,1.1
0.31994994,426.24194,0.78624194,1.1
0.223675319,399.48584,0.75948584,0.8
0.104183279,355.6538,0.7156538,0.4
0.048798447,318.64185,0.67864185,0.2
0,283.13647,0.64313647,0
0,286.0891,0.6460891,0
0,302.3452,0.6623452,0
0,325.0183,0.6850183,0
0,372.104,0.732104,0
0,375.56958,0.73556958,0
0,388.3916,0.7483916,0
0,376.8496,0.7368496,0
0,366.1831,0.7261831,0
0,345.91528,0.70591528,0
0.023405616,299.34668,0.65934668,0.1
0,236.60222,0.59660222,0
0,198.07697,0.55807697,0
0.019811299,197.98694,0.55798694,0.1
0.019484741,188.77945,0.54877945,0.1
0,185.73677,0.54573677,0
0,183.12036,0.54312036,0
0,153.22978,0.51322978,0
0,152.05638,0.51205638,0
0,129.38335,0.48938335,0
0,108.65021,0.46865021,0
0,108.63023,0.46863023,0
0,108.63023,0.46863023,0
0,107.501434,0.467501434,0
0,108.48526,0.46848526,0
0,108.50523,0.46850523,0
0,149.01357,0.50901357,0
0,199.1881,0.5591881,0
0,250.64815,0.61064815,0
0,335.6399,0.6956399,0
0,353.44238,0.71344238,0
0,379.86475,0.73986475,0
0,381.1975,0.7411975,0
0,407.64868,0.76764868,0
0,397.8286,0.7578286,0
0,332.313,0.692313,0
0,352.01733,0.71201733,0
0,294.73218,0.65473218,0
0,282.69995,0.64269995,0
0,273.46118,0.63346118,0
0,268.6504,0.6286504,0
0,260.16162,0.62016162,0
0,259.94653,0.61994653,0
0,258.70312,0.61870312,0
0,169.3134,0.5293134,0
0,123.07646,0.48307646,0
0,85.40256,0.44540256,0
0,39.838837,0.399838837,0
0,39.963837,0.399963837,0
0,40.702835,0.400702835,0
0,87.99901,0.44799901,0
0,185.38103,0.54538103,0
0,265.28125,0.62528125,0
0,317.68042,0.67768042,0
0,330.35132,0.69035132,0
0,316.8689,0.6768689,0
0,299.14014,0.65914014,0
0,243.4892,0.6034892,0
0,169.05598,0.52905598,0
0,89.23918,0.44923918,0
0,53.743454,0.413743454,0
0,39.838837,0.399838837,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0.012787287,0,0.36,0.1
0.025910324,0,0.36,0.2
0.025910324,0,0.36,0.2
0.013340528,15.589535,0.375589535,0.1
0.013344255,15.694562,0.375694562,0.1
0.013861901,30.28186,0.39028186,0.1
0,45.314774,0.405314774,0
0,47.79138,0.40779138,0
0,58.738495,0.418738495,0
0,41.86125,0.40186125,0
0,28.502426,0.388502426,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0.027918823,27.943192,0.387943192,0.2
0.045273232,56.31993,0.41631993,0.3
0.048874796,89.49695,0.44949695,0.3
0.068698599,111.457886,0.471457886,0.4
0.032726668,94.84787,0.45484787,0.2
0.016225767,96.90506,0.45690506,0.1
0,96.02626,0.45602626,0
0,72.108505,0.432108505,0
0,56.264984,0.416264984,0
0,27.18422,0.38718422,0
0,0,0.36,0
0.027865709,27.204193,0.387204193,0.2
0.014201027,39.838837,0.399838837,0.1
0.043483848,39.838837,0.399838837,0.3
0.039157722,0,0.36,0.3
0.025910324,0,0.36,0.2
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0.012787287,0,0.36,0.1
0.012787287,0,0.36,0.1
0.012787287,0,0.36,0.1
0.025910324,0,0.36,0.2
0.025910324,0,0.36,0.2
0.025910324,0,0.36,0.2
0.025910324,0,0.36,0.2
0.025910324,0,0.36,0.2
0.012787287,0,0.36,0.1
0.012787287,0,0.36,0.1
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0.012787287,0,0.36,0.1
0.012787287,0,0.36,0.1
0.012787287,0,0.36,0.1
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0.012787287,0,0.36,0.1
0.025910324,0,0.36,0.2
0.025910324,0,0.36,0.2
0.025910324,0,0.36,0.2
0.012787287,0,0.36,0.1
0.052484433,0,0.36,0.4
0.039157722,0,0.36,0.3
0.025910324,0,0.36,0.2
0,0,0.36,0
0,396.89844,0.75689844,0
0,707.2715,1.0672715,0
0,741.75,1.10175,0
0,905.5818,1.2655818,0
0,1003.3296,1.3633296,0
0,1110.2239,1.4702239,0
0.11531194,1246.6111,1.6066111,0.2
0.179853258,1299.3264,1.6593264,0.3
0.204161738,1524.4099,1.8844099,0.3
0.219823934,1669.5088,2.0295088,0.3
0.295888952,1679.521,2.039521,0.4
0.522379112,1680.426,2.040426,0.7
0.764349473,1720.02,2.08002,1
1.051161688,1834.0947,2.1940947,1.3
0.906433428,1880.8926,2.2408926,1.1
0.740239101,1882.4426,2.2424426,0.9
0.325252274,1882.8376,2.2428376,0.4
0.162370964,1904.5039,2.2645039,0.2
0,2040.4646,2.4004646,0
0,1977.3301,2.3373301,0
0,1988.6353,2.3486353,0
0,1983.0386,2.3430386,0
0,1824.8083,2.1848083,0
0,1671.3015,2.0313015,0
0,1630.49,1.99049,0
0,1517.1213,1.8771213,0
0,1402.9744,1.7629744,0
0,1277.8408,1.6378408,0
0.117307857,1274.4941,1.6344941,0.2
0,1217.3159,1.5773159,0
0,1051.4004,1.4114004,0
0.047723822,985.7715,1.3457715,0.1
0.303718014,555.6516,0.9156516,0.9
0.193745664,223.09874,0.58309874,0.9
0.063117057,73.08017,0.43308017,0.4
0.039298714,1.2982225,0.361298223,0.3
0.025910324,0,0.36,0.2
0.012787287,0,0.36,0.1
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0.012787287,0,0.36,0.1
0.025910324,0,0.36,0.2
0.012787287,0,0.36,0.1
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,55.605896,0.415605896,0
0,135.89964,0.49589964,0
0,213.12791,0.57312791,0
0,286.45142,0.64645142,0
0.048863587,319.54932,0.67954932,0.2
0.052099902,364.63818,0.72463818,0.2
0,421.4126,0.7814126,0
0,478.06372,0.83806372,0
0,475.65234,0.83565234,0
0,479.2876,0.8392876,0
0,477.6411,0.8376411,0
0,469.88794,0.82988794,0
0,429.2473,0.7892473,0
0,376.78345,0.73678345,0
0,267.35034,0.62735034,0
0,229.46965,0.58946965,0
0,155.50082,0.51550082,0
0,131.02559,0.49102559,0
0,108.36026,0.46836026,0
0,88.573044,0.448573044,0
0.016070893,92.53963,0.45253963,0.1
0.015458409,75.2762,0.4352762,0.1
0,76.86542,0.43686542,0
0,91.94025,0.45194025,0
0,161.83534,0.52183534,0
0,241.89977,0.60189977,0
0,322.0039,0.6820039,0
0,370.6587,0.7306587,0
0,366.59668,0.72659668,0
0,354.70264,0.71470264,0
0,369.60156,0.72960156,0
0,369.4568,0.7294568,0
0,386.84473,0.74684473,0
0,426.23853,0.78623853,0
0,468.98853,0.82898853,0
0,491.81567,0.85181567,0
0,512.8342,0.8728342,0
0,585.0376,0.9450376,0
0,605.00415,0.96500415,0
0,630.1167,0.9901167,0
0,629.8318,0.9898318,0
0,629.4568,0.9894568,0
0,629.0818,0.9890818,0
0,626.19507,0.98619507,0
0,676.09595,1.03609595,0
0,693.42065,1.05342065,0
0,733.7998,1.0937998,0
0,783.4883,1.1434883,0
0,762.1648,1.1221648,0
0,625.77026,0.98577026,0
0,555.16943,0.91516943,0
0,574.78345,0.93478345,0
0,524.38135,0.88438135,0
0,395.1189,0.7551189,0
0,387.54395,0.74754395,0
0,317.89282,0.67789282,0
0,165.32751,0.52532751,0
0,103.28204,0.46328204,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0.7389882,0.360738988,0
0,29.101608,0.389101608,0
0,41.756226,0.401756226,0
0,42.52034,0.40252034,0
0,56.31993,0.41631993,0
0,28.502426,0.388502426,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
0,0,0.36,0
