timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Specific attenuation,Attenuation
20130105T1400,7.8402452,0,0,0,100,0,0
20130105T1500,7.630245,0,0,0,100,0,0
20130105T1600,7.420245,0,0,0,98,0,0
20130105T1700,7.1802454,0,0,0,99,0,0
20130105T1800,7.2602453,0,0,0,92,0,0
20130105T1900,7.170245,0.1,0,1,85,0.091952203,0.09335068
20130105T2000,6.5902452,0,0,1,88,0,0
20130105T2100,6.7602453,0,0,4,84,0,0
20130105T2200,6.4302454,0,0,6,86,0,0
20130105T2300,5.900245,0,0,10,82,0,0
20130106T0000,5.5102453,0,0,14,82,0,0
20130106T0100,5.7002454,0,0,16,78,0,0
20130106T0200,5.9102454,0,0,18,77,0,0
20130106T0300,5.8202453,0,0,8,73,0,0
20130106T0400,5.3702455,0,18,3,77,0,0
20130106T0500,5.5902452,0,0,1,65,0,0
20130106T0600,5.3102455,0,0,0,61,0,0
20130106T0700,5.3902454,0,0,0,44,0,0
20130106T0800,5.170245,0,13,0,41,0,0
20130106T0900,5.0702453,0,86,0,49,0,0
20130106T1000,5.860245,0,100,0,82,0,0
20130106T1100,5.730245,0,98,0,97,0,0
20130106T1200,5.900245,0,98,0,97,0,0
20130106T1300,6.0902452,0,21,0,98,0,0
20130106T1400,6.230245,0,0,0,99,0,0
20130106T1500,6.400245,0,3,0,99,0,0
20130106T1600,6.480245,0,7,0,98,0,0
20130106T1700,5.8902454,0,33,0,97,0,0
20130106T1800,6.4702454,0,78,0,99,0,0
20130106T1900,6.400245,0,87,0,84,0,0
20130106T2000,6.8702455,0,95,0,87,0,0
20130106T2100,6.3002453,0,99,0,91,0,0
20130106T2200,5.6602454,0,31,0,88,0,0
20130106T2300,4.790245,0,1,0,86,0,0
20130107T0000,4.8102455,0,0,0,86,0,0
20130107T0100,4.7402453,0,0,0,81,0,0
20130107T0200,4.6002455,0,0,0,80,0,0
20130107T0300,4.690245,0,0,0,71,0,0
