timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Cloud Attenuation
20130105T1300,7.9902453,0,0,0,100,0.2434708116
20130105T1400,7.8402452,0,0,0,100,0.2598277731
20130105T1500,7.630245,0,0,0,100,0.2694217832
20130105T1600,7.420245,0,0,0,98,0.3524260525
20130105T1700,7.1802454,0,0,0,99,0.3642485647
20130105T1800,7.2602453,0,0,0,92,0.3688221758
20130105T1900,7.170245,0.1,0,1,85,0.3345488781
20130105T2000,6.5902452,0,0,1,88,0.320878549
20130105T2100,6.7602453,0,0,4,84,0.3179704261
20130105T2200,6.4302454,0,0,6,86,0.2730989879
20130105T2300,5.900245,0,0,10,82,0.2666286272
20130106T0000,5.5102453,0,0,14,82,0.2943027266
20130106T0100,5.7002454,0,0,16,78,0.3084671363
20130106T0200,5.9102454,0,0,18,77,0.2407766241
20130106T0300,5.8202453,0,0,8,73,0.191276307
20130106T0400,5.3702455,0,18,3,77,0.1563275273
20130106T0500,5.5902452,0,0,1,65,0.1470145509
20130106T0600,5.3102455,0,0,0,61,0.135726267
20130106T0700,5.3902454,0,0,0,44,0.1096762782
20130106T0800,5.170245,0,13,0,41,0.06553996274
20130106T0900,5.0702453,0,86,0,49,0.04620146462
20130106T1000,5.860245,0,100,0,82,0.07195296686
20130106T1100,5.730245,0,98,0,97,0.129542084
20130106T1200,5.900245,0,98,0,97,0.1533860701
20130106T1300,6.0902452,0,21,0,98,0.1748964166
20130106T1400,6.230245,0,0,0,99,0.1787744767
20130106T1500,6.400245,0,3,0,99,0.1885132252
20130106T1600,6.480245,0,7,0,98,0.1900538096
20130106T1700,5.8902454,0,33,0,97,0.1850860135
20130106T1800,6.4702454,0,78,0,99,0.1839471204
20130106T1900,6.400245,0,87,0,84,0.1928473658
20130106T2000,6.8702455,0,95,0,87,0.2046449675
20130106T2100,6.3002453,0,99,0,91,0.2005707275
20130106T2200,5.6602454,0,31,0,88,0.1857489915
20130106T2300,4.790245,0,1,0,86,0.1891830067
20130107T0000,4.8102455,0,0,0,86,0.2249742429
20130107T0100,4.7402453,0,0,0,81,0.2304539141
20130107T0200,4.6002455,0,0,0,80,0.2081216975
20130107T0300,4.690245,0,0,0,71,0.1575629486
20130107T0400,4.3102455,0,7,0,57,0.1137462769
20130107T0500,4.2202454,0,38,0,63,0.09996068318
20130107T0600,3.8802452,0,71,0,55,0.09508552055
20130107T0700,3.8802452,0,86,0,67,0.09008654737
20130107T0800,4.0802455,0,91,0,64,0.07417583291
20130107T0900,4.0402455,0,83,0,89,0.05701727907
20130107T1000,3.9402456,0,53,14,100,0.1686989779
20130107T1100,4.5502453,0,41,0,100,0.1716316501
20130107T1200,4.980245,0,31,4,100,0.1592634598
20130107T1300,5.3502455,0,11,0,99,0.1473422818
20130107T1400,5.6802454,0,3,0,97,0.1089562306
