valid_time,tp,Specific Attenuation (dB),Attenuation
41280.66667,9.53674E-07,7.79588E-05,0.000903836
41280.70833,7.62856E-06,0.000649936,0.007383199
41280.75,4.82489E-06,0.000407341,0.004626097
41280.79167,1.07939E-05,0.000925989,0.009834002
41280.83333,3.81414E-06,0.000320506,0.00342089
41280.875,9.53535E-07,7.79472E-05,0.00083059
41280.91667,0,0,0
41280.95833,0,0,0
41281,0,0,0
41281.04167,0,0,0
41281.08333,0,0,0
41281.125,0,0,0
41281.16667,6.29216E-07,5.1012E-05,0.000600557
41281.20833,7.62241E-08,5.92557E-06,6.9796E-05
41281.25,4.76767E-07,3.84399E-05,0.000452654
41281.29167,1.58275E-06,0.000130693,0.001534225
41281.33333,0,0,0
41281.375,0,0,0
41281.41667,0,0,0
41281.45833,0,0,0
41281.5,0,0,0
41281.54167,0,0,0
41281.58333,0,0,0
41281.625,0,0,0
41281.66667,0,0,0
41281.70833,0,0,0
41281.75,0,0,0
41281.79167,0,0,0
41281.83333,0,0,0
41281.875,0,0,0
41281.91667,0,0,0
41281.95833,0,0,0
41282,0,0,0
41282.04167,0,0,0
41282.08333,7.62241E-08,5.92557E-06,6.5384E-05
41282.125,7.62241E-08,5.92557E-06,6.53565E-05
41282.16667,0,0,0
41282.20833,0,0,0
41282.25,0,0,0
41282.29167,9.53535E-07,7.79472E-05,0.000858715
41282.33333,5.16822E-06,0.000436923,0.004810537
41282.375,2.78438E-06,0.000232514,0.002585572
41282.41667,4.76767E-07,3.84399E-05,0.000428952
41282.45833,0,0,0
41282.5,0,0,0
41282.54167,0,0,0
41282.58333,0,0,0
41282.625,0,0,0
41282.66667,0,0,0
41282.70833,0,0,0
41282.75,0,0,0
41282.79167,0,0,0
41282.83333,0,0,0
41282.875,0,0,0
41282.91667,0,0,0
41282.95833,4.76767E-07,3.84399E-05,0.000453661
41283,9.53535E-07,7.79472E-05,0.000920102
41283.04167,0,0,0
41283.08333,4.76767E-07,3.84399E-05,0.000436017
41283.125,4.76767E-07,3.84399E-05,0.000435867
41283.16667,9.53535E-07,7.79472E-05,0.000881027
41283.20833,1.35408E-06,0.000111465,0.001247775
41283.25,1.83085E-06,0.000151618,0.001678763
41283.29167,4.78717E-06,0.000404093,0.004467622
41283.33333,9.53535E-07,7.79472E-05,0.00086267
41283.375,9.53535E-07,7.79472E-05,0.000862907
41283.41667,2.8606E-06,0.000239008,0.002645106
41283.45833,2.8606E-06,0.000239008,0.002540015
41283.5,9.45913E-06,0.000809351,0.008525847
41283.54167,3.81414E-06,0.000320506,0.00336389
41283.58333,1.90707E-06,0.000158059,0.001625365
41283.625,2.70816E-06,0.000226024,0.002304365
41283.66667,2.70816E-06,0.000226024,0.00217818
41283.70833,3.35693E-06,0.000281371,0.002650406
41283.75,5.11156E-06,0.000432038,0.003786019
41283.79167,3.91E-06,0.000328723,0.002911039
41283.83333,4.76767E-07,3.84399E-05,0.000322936
41283.875,4.76767E-07,3.84399E-05,0.000316398
41283.91667,4.76767E-07,3.84399E-05,0.000313019
41283.95833,8.90613E-06,0.000761123,0.005804991
41284,3.76082E-05,0.003307448,0.024868148
41284.04167,7.34423E-05,0.006545427,0.045847084
41284.08333,0.000173478,0.015727526,0.106491694
41284.125,0.00024701,0.022551954,0.142789429
41284.16667,0.000217969,0.019851045,0.117254984
41284.20833,0.000153016,0.013837912,0.079054059
41284.25,8.79805E-05,0.007869346,0.042516393
41284.29167,0.000172094,0.015599592,0.029723651
41284.33333,0.0001492,0.013486058,0.026616746
41284.375,0.000149081,0.013475084,0.026783698
41284.41667,0.000138285,0.012480534,0.026814527
41284.45833,0.000102921,0.009234431,0.02117928
41284.5,8.25507E-05,0.007374332,0.018274915
41284.54167,9.51725E-05,0.008525941,0.0374688
41284.58333,0.000143955,0.013002676,0.055423728
41284.625,0.00029466,0.026996991,0.096951475
41284.66667,0.000412059,0.038005811,0.164273662
41284.70833,0.000535402,0.049640131,0.216662413
41284.75,0.000662326,0.061668393,0.266144989
41284.79167,0.000728751,0.067982241,0.197385915
41284.83333,0.000780974,0.072954303,0.208000689
41284.875,0.000849919,0.079528519,0.227501989
41284.91667,0.000834056,0.07801486,0.23891843
41284.95833,0.000730512,0.06814978,0.225388805
41285,0.00068014,0.063360508,0.223509743
41285.04167,0.000860361,0.080525086,0.286033005
41285.08333,0.001153223,0.108566242,0.366714389
41285.125,0.000999783,0.093854214,0.313071747
41285.16667,0.000904648,0.084754705,0.262325847
41285.20833,0.000785598,0.073394893,0.219584175
41285.25,0.000486452,0.045015734,0.127127618
41285.29167,0.000506455,0.046904414,0.125614948
41285.33333,0.000293706,0.026907836,0.068390632
41285.375,0.000140164,0.012653561,0.032349802
41285.41667,0.000110279,0.009908236,0.025976071
41285.45833,0.00012835,0.011566725,0.031354354
41285.5,0.000158597,0.014352829,0.041563727
41285.54167,0.000180915,0.016415547,0.047751206
41285.58333,0.000216297,0.019695818,0.058271151
41285.625,0.000409071,0.037724806,0.109736046
41285.66667,0.000295759,0.027099685,0.077751369
41285.70833,0.000390349,0.035964643,0.100246852
41285.75,0.000366023,0.033680311,0.087714323
41285.79167,0.000157854,0.014284249,0.033719666
41285.83333,0.000128329,0.011564782,0.025546613
41285.875,9.67986E-05,0.008674536,0.019165344
41285.91667,5.16721E-05,0.004573096,0.00994297
41285.95833,5.44381E-05,0.004822895,0.010427561
41286,2.71419E-05,0.002371553,0.005105377
41286.04167,1.84451E-05,0.001599324,0.003254203
41286.08333,1.59092E-05,0.001375387,0.002792333
41286.125,1.15026E-05,0.000988037,0.00191738
41286.16667,8.90815E-06,0.000761299,0.001414919
41286.20833,9.06032E-06,0.000774564,0.001439505
41286.25,5.97014E-06,0.000506168,0.000940805
41286.29167,4.29098E-06,0.000361421,0.000670198
41286.33333,1.43037E-06,0.000117873,0.000219075
41286.375,4.76767E-07,3.84399E-05,7.14532E-05
41286.41667,4.76767E-07,3.84399E-05,7.76308E-05
41286.45833,1.02983E-06,8.43128E-05,0.000187043
41286.5,4.76767E-07,3.84399E-05,9.31301E-05
41286.54167,0,0,0
41286.58333,0,0,0
41286.625,0,0,0
41286.66667,6.96423E-11,4.71037E-09,1.38538E-08
41286.70833,4.77046E-07,3.84628E-05,0.000117142
41286.75,4.77046E-07,3.84628E-05,0.000115643
41286.79167,4.17854E-10,2.92877E-08,8.04577E-08
41286.83333,4.6169E-06,0.00038944,0.001099736
41286.875,1.38499E-05,0.001194058,0.003099522
41286.91667,2.25662E-05,0.001964519,0.005004587
41286.95833,2.23747E-05,0.001947518,0.00489002
41287,1.28369E-05,0.001105053,0.002754352
41287.04167,4.19631E-06,0.00035329,0.000868999
41287.08333,2.53705E-06,0.000211469,0.000520031
41287.125,3.01389E-06,0.000252077,0.000618627
41287.16667,7.7824E-06,0.000663306,0.001392376
41287.20833,1.05475E-05,0.000904433,0.001732578
41287.25,6.30106E-05,0.005598635,0.009879727
41287.29167,5.71066E-09,4.21636E-07,6.68959E-07
41287.33333,1.3232E-09,9.48955E-08,1.50607E-07
41287.375,4.87496E-10,3.42739E-08,5.44962E-08
41287.41667,7.67116E-08,5.96422E-06,1.06021E-05
41287.45833,2.08927E-10,1.44433E-08,3.1257E-08
41287.5,7.63634E-08,5.93661E-06,1.47289E-05
41287.54167,7.63634E-08,5.93661E-06,1.59631E-05
41287.58333,2.28951E-07,1.8192E-05,4.98294E-05
41287.625,1.52657E-07,1.20325E-05,3.23149E-05
41287.66667,7.65027E-08,5.94766E-06,1.55553E-05
41287.70833,1.52936E-07,1.20549E-05,2.88654E-05
41287.75,1.52866E-07,1.20493E-05,2.52936E-05
41287.79167,8.01198E-06,0.000683269,0.001217349
41287.83333,8.54617E-06,0.000729762,0.001197457
41287.875,7.17372E-06,0.000610438,0.00096805
41287.91667,8.60416E-06,0.000734812,0.00104916
41287.95833,1.52791E-05,0.001319856,0.001884158
41288,3.4141E-05,0.002996748,0.004276541
41288.04167,6.22733E-05,0.005531827,0.007891373
41288.08333,6.5783E-05,0.005849971,0.008344892
41288.125,5.1956E-05,0.004598728,0.006561069
41288.16667,7.13545E-05,0.006355704,0.009065767
41288.20833,0.000126876,0.011431267,0.016297313
41288.25,0.000161075,0.014581562,0.020783285
41288.29167,0.000152658,0.01380488,0.019677461
41288.33333,0.000180254,0.016354316,0.02330693
41288.375,0.000110088,0.009890706,0.014102922
41288.41667,0.000061492,0.005461049,0.008127597
41288.45833,6.10205E-05,0.005418349,0.008066344
41288.5,0.000063446,0.00563809,0.008718889
41288.54167,4.34905E-05,0.00383583,0.006161736
41288.58333,2.67813E-05,0.002339423,0.003781926
41288.625,2.74293E-05,0.002397162,0.0039792
41288.66667,2.75433E-05,0.002407331,0.003835087
41288.70833,1.07201E-05,0.000919533,0.001416734
41288.75,1.81247E-06,0.000150066,0.000214322
41288.79167,4.1979E-06,0.000353428,0.0005047
41288.83333,9.54788E-07,7.80517E-05,0.00011148
41288.875,3.16689E-06,0.000265135,0.000378634
41288.91667,2.5184E-06,0.000209883,0.00029974
41288.95833,1.25941E-06,0.000103522,0.000147855
41289,9.53953E-07,7.7982E-05,0.00011138
41289.04167,9.53814E-07,7.79704E-05,0.000111363
41289.08333,9.53743E-07,7.79646E-05,0.000111355
41289.125,4.76767E-07,3.84399E-05,5.49056E-05
41289.16667,8.77311E-07,7.15974E-05,0.000102262
41289.20833,8.3727E-06,0.000714658,0.00102039
41289.25,6.17384E-05,0.005483366,0.007822289
41289.29167,0.000353255,0.032482449,0.046246614
41289.33333,0.000569107,0.052829209,0.075146042
41289.375,0.000683455,0.063675401,0.097546398
41289.41667,0.000704765,0.065700907,0.107984134
41289.45833,0.000670647,0.062458633,0.110828524
41289.5,0.000501244,0.046412276,0.086431302
41289.54167,0.000218816,0.01992976,0.03586496
41289.58333,0.000101812,0.009133017,0.016525453
41289.625,6.1911E-05,0.005499004,0.009935326
41289.66667,5.75661E-05,0.005105693,0.008741731
41289.70833,5.41499E-05,0.004796856,0.007912383
41289.75,6.59046E-05,0.005861003,0.008991468
41289.79167,0.000125084,0.011266596,0.016062776
41289.83333,0.000292302,0.026776615,0.041011826
41289.875,0.000288197,0.026393164,0.041742425
41289.91667,0.000290687,0.02662581,0.042109782
41289.95833,0.000183462,0.016651272,0.023729621
41290,0.000150883,0.013641205,0.01944441
41290.04167,0.00010224,0.00917215,0.013079243
41290.08333,6.17992E-05,0.005488876,0.007830144
41290.125,3.68299E-05,0.003237651,0.004620138
41290.16667,3.16795E-05,0.002776551,0.003962457
41290.20833,3.01734E-05,0.002641992,0.003770516
41290.25,2.88955E-05,0.00252792,0.003607793
41290.29167,3.90225E-05,0.003434348,0.00490067
41290.33333,4.02815E-05,0.00354739,0.005061887
41290.375,3.9786E-05,0.003502886,0.004998417
41290.41667,3.5285E-05,0.0030992,0.004422669
41290.45833,3.33013E-05,0.002921594,0.004169344
41290.5,3.74586E-05,0.003294024,0.00470054
41290.54167,4.17507E-05,0.003679392,0.005250137
41290.58333,4.32972E-05,0.003818442,0.005448433
41290.625,2.38423E-05,0.002077878,0.002965763
41290.66667,9.4411E-06,0.000807778,0.001153312
41290.70833,5.47367E-06,0.000463275,0.00066153
41290.75,4.69173E-06,0.000395878,0.000565308
41290.79167,4.76823E-06,0.000402463,0.000574709
41290.83333,1.30454E-05,0.001123367,0.001603745
41290.875,2.18198E-05,0.001898267,0.002709504
41290.91667,7.32464E-06,0.000623538,0.000890319
41290.95833,2.36553E-06,0.000196898,0.000281198
41291,4.27316E-06,0.00035989,0.000513927
41291.04167,4.34917E-06,0.000366421,0.000523251
41291.08333,4.25359E-06,0.00035821,0.000511528
41291.125,1.02232E-05,0.000876078,0.001250801
41291.16667,3.45799E-05,0.003036049,0.004332597
41291.20833,5.74889E-05,0.005098708,0.007273913
41291.25,5.72606E-05,0.005078057,0.007244471
41291.29167,9.11149E-05,0.00815537,0.011630522
41291.33333,7.98232E-05,0.007125909,0.010163501
41291.375,6.8761E-05,0.006120191,0.008730073
41291.41667,8.32953E-05,0.007442172,0.010614213
41291.45833,0.000102902,0.009232697,0.013165505
41291.5,0.000100002,0.008967411,0.012787547
41291.54167,9.63593E-05,0.008634388,0.012313061
41291.58333,0.000102922,0.009234507,0.013168084
41291.625,0.00010214,0.009162984,0.013066185
41291.66667,7.73994E-05,0.006905304,0.009849097
41291.70833,7.698E-05,0.006867144,0.009794712
41291.75,8.62508E-05,0.007711581,0.010998135
41291.79167,7.43878E-05,0.006631383,0.009458694
41291.83333,8.63464E-05,0.007720297,0.011010555
41291.875,5.43775E-05,0.004817415,0.006872871
41291.91667,1.86915E-05,0.001621112,0.002314048
41291.95833,1.16535E-05,0.001001254,0.001429463
41292,1.55631E-05,0.001344877,0.001919865
41292.04167,1.7928E-05,0.001553605,0.002217719
41292.08333,1.58675E-05,0.001371716,0.001958166
41292.125,1.2072E-05,0.001037939,0.001481822
41292.16667,5.32088E-06,0.00045009,0.000642705
41292.20833,3.89064E-06,0.000327064,0.000467058
41292.25,5.79757E-06,0.000491251,0.000701469
